Date:  11:47, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Hoop Stress
Reference geometry: Axis1
Result Type: SY 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
51  ,4.377e+08  ,37.88999939  ,0.00000000  ,0.00000000
22003  ,4.223e+08  ,39.17499924  ,0.00000000  ,0.00000000
912  ,4.085e+08  ,40.46000290  ,0.00000000  ,0.00000000
16177  ,3.967e+08  ,41.74499893  ,0.00000000  ,0.00000000
911  ,3.848e+08  ,43.03000259  ,0.00000000  ,0.00000000
16181  ,3.742e+08  ,44.31499863  ,0.00000000  ,0.00000000
910  ,3.634e+08  ,45.60000229  ,0.00000000  ,0.00000000
16186  ,3.535e+08  ,46.88499832  ,0.00000000  ,0.00000000
909  ,3.431e+08  ,48.17000198  ,0.00000000  ,0.00000000
16192  ,3.349e+08  ,49.45499802  ,0.00000000  ,0.00000000
908  ,3.265e+08  ,50.74000168  ,0.00000000  ,0.00000000
16199  ,3.190e+08  ,52.02500153  ,0.00000000  ,0.00000000
907  ,3.116e+08  ,53.30999756  ,0.00000000  ,0.00000000
16206  ,3.049e+08  ,54.59500122  ,0.00000000  ,0.00000000
906  ,2.976e+08  ,55.87999725  ,0.00000000  ,0.00000000
16213  ,2.905e+08  ,57.16500092  ,0.00000000  ,0.00000000
905  ,2.843e+08  ,58.44999695  ,0.00000000  ,0.00000000
16220  ,2.783e+08  ,59.73500061  ,0.00000000  ,0.00000000
904  ,2.720e+08  ,61.02000046  ,0.00000000  ,0.00000000
16227  ,2.668e+08  ,62.30500031  ,0.00000000  ,0.00000000
903  ,2.611e+08  ,63.58999634  ,0.00000000  ,0.00000000
16234  ,2.559e+08  ,64.87500000  ,0.00000000  ,0.00000000
902  ,2.509e+08  ,66.16000366  ,0.00000000  ,0.00000000
16240  ,2.462e+08  ,67.44499969  ,0.00000000  ,0.00000000
901  ,2.413e+08  ,68.72999573  ,0.00000000  ,0.00000000
16246  ,2.367e+08  ,70.01499939  ,0.00000000  ,0.00000000
900  ,2.321e+08  ,71.30000305  ,0.00000000  ,0.00000000
16252  ,2.279e+08  ,72.58499908  ,0.00000000  ,0.00000000
899  ,2.239e+08  ,73.87000275  ,0.00000000  ,0.00000000
16257  ,2.201e+08  ,75.15499878  ,0.00000000  ,0.00000000
898  ,2.162e+08  ,76.44000244  ,0.00000000  ,0.00000000
17530  ,2.125e+08  ,77.72499847  ,0.00000000  ,0.00000000
694  ,2.087e+08  ,79.01000214  ,0.00000000  ,-0.00000000
