Date:  11:46, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
51  ,-7.281e+07  ,37.88999939  ,0.00000000  ,0.00000000
22003  ,-6.131e+07  ,39.17499924  ,0.00000000  ,0.00000000
912  ,-5.092e+07  ,40.46000290  ,0.00000000  ,0.00000000
16177  ,-3.700e+07  ,41.74499893  ,0.00000000  ,0.00000000
911  ,-2.807e+07  ,43.03000259  ,0.00000000  ,0.00000000
16181  ,-1.893e+07  ,44.31499863  ,0.00000000  ,0.00000000
910  ,-1.226e+07  ,45.60000229  ,0.00000000  ,0.00000000
16186  ,-6.210e+06  ,46.88499832  ,0.00000000  ,0.00000000
909  ,-1.540e+06  ,48.17000198  ,0.00000000  ,0.00000000
16192  ,4.690e+06  ,49.45499802  ,0.00000000  ,0.00000000
908  ,6.763e+06  ,50.74000168  ,0.00000000  ,0.00000000
16199  ,1.208e+07  ,52.02500153  ,0.00000000  ,0.00000000
907  ,1.321e+07  ,53.30999756  ,0.00000000  ,0.00000000
16206  ,1.599e+07  ,54.59500122  ,0.00000000  ,0.00000000
906  ,1.734e+07  ,55.87999725  ,0.00000000  ,0.00000000
16213  ,2.002e+07  ,57.16500092  ,0.00000000  ,0.00000000
905  ,2.047e+07  ,58.44999695  ,0.00000000  ,0.00000000
16220  ,2.229e+07  ,59.73500061  ,0.00000000  ,0.00000000
904  ,2.206e+07  ,61.02000046  ,0.00000000  ,0.00000000
16227  ,2.217e+07  ,62.30500031  ,0.00000000  ,0.00000000
903  ,2.137e+07  ,63.58999634  ,0.00000000  ,0.00000000
16234  ,2.125e+07  ,64.87500000  ,0.00000000  ,0.00000000
902  ,2.023e+07  ,66.16000366  ,0.00000000  ,0.00000000
16240  ,1.913e+07  ,67.44499969  ,0.00000000  ,0.00000000
901  ,1.777e+07  ,68.72999573  ,0.00000000  ,0.00000000
16246  ,1.641e+07  ,70.01499939  ,0.00000000  ,0.00000000
900  ,1.454e+07  ,71.30000305  ,0.00000000  ,0.00000000
16252  ,1.266e+07  ,72.58499908  ,0.00000000  ,0.00000000
899  ,1.038e+07  ,73.87000275  ,0.00000000  ,0.00000000
16257  ,7.891e+06  ,75.15499878  ,0.00000000  ,0.00000000
898  ,5.351e+06  ,76.44000244  ,0.00000000  ,0.00000000
17530  ,2.708e+06  ,77.72499847  ,0.00000000  ,0.00000000
694  ,1.744e+05  ,79.01000214  ,0.00000000  ,-0.00000000
