Date:  17:10, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,1.325e+06  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,1.435e+07  ,51.92307663  ,0.00000000  ,0.00000000
652  ,2.660e+07  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,3.564e+07  ,55.76922989  ,0.00000000  ,0.00000000
651  ,4.389e+07  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,5.115e+07  ,59.61538315  ,0.00000000  ,0.00000000
650  ,5.674e+07  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,6.041e+07  ,63.46154022  ,0.00000000  ,0.00000000
649  ,6.324e+07  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,6.606e+07  ,67.30769348  ,0.00000000  ,0.00000000
648  ,6.792e+07  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,6.846e+07  ,71.15384674  ,0.00000000  ,0.00000000
647  ,6.684e+07  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,6.488e+07  ,75.00000000  ,0.00000000  ,0.00000000
646  ,6.236e+07  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,5.977e+07  ,78.84615326  ,0.00000000  ,0.00000000
645  ,5.744e+07  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,5.416e+07  ,82.69230652  ,0.00000000  ,0.00000000
644  ,4.991e+07  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,4.486e+07  ,86.53846741  ,0.00000000  ,0.00000000
643  ,3.961e+07  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,3.376e+07  ,90.38462067  ,0.00000000  ,0.00000000
642  ,2.807e+07  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,2.141e+07  ,94.23077393  ,0.00000000  ,0.00000000
641  ,1.472e+07  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,7.361e+06  ,98.07692719  ,0.00000000  ,0.00000000
505  ,-2.944e+05  ,100.00000000  ,0.00000000  ,-0.00000000
