Date:  17:08, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,9.980e+05  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,1.265e+07  ,51.92307663  ,0.00000000  ,0.00000000
652  ,2.458e+07  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,3.215e+07  ,55.76922989  ,0.00000000  ,0.00000000
651  ,3.737e+07  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,4.526e+07  ,59.61538315  ,0.00000000  ,0.00000000
650  ,4.980e+07  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,5.405e+07  ,63.46154022  ,0.00000000  ,0.00000000
649  ,5.651e+07  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,5.918e+07  ,67.30769348  ,0.00000000  ,0.00000000
648  ,6.048e+07  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,6.170e+07  ,71.15384674  ,0.00000000  ,0.00000000
647  ,5.913e+07  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,5.789e+07  ,75.00000000  ,0.00000000  ,0.00000000
646  ,5.561e+07  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,5.339e+07  ,78.84615326  ,0.00000000  ,0.00000000
645  ,5.053e+07  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,4.812e+07  ,82.69230652  ,0.00000000  ,0.00000000
644  ,4.473e+07  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,4.024e+07  ,86.53846741  ,0.00000000  ,0.00000000
643  ,3.525e+07  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,2.986e+07  ,90.38462067  ,0.00000000  ,0.00000000
642  ,2.472e+07  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,1.860e+07  ,94.23077393  ,0.00000000  ,0.00000000
641  ,1.263e+07  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,6.516e+06  ,98.07692719  ,0.00000000  ,0.00000000
505  ,-1.474e+05  ,100.00000000  ,0.00000000  ,-0.00000000
