Date:  13:16, Monday, March 01, 2021
Model name: Composite Rim
Study name: 3D Plane Strain(-Ha 1999-)
Plot type: Static nodal stress Hoop Stress
Reference geometry: Axis1
Result Type: SY 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
46  ,6.375e+08  ,50.00000000  ,0.00000000  ,0.00000000
11983  ,6.169e+08  ,51.92307663  ,0.00000000  ,0.00000000
652  ,5.962e+08  ,53.84615326  ,0.00000000  ,0.00000000
8061  ,5.767e+08  ,55.76922989  ,0.00000000  ,0.00000000
651  ,5.589e+08  ,57.69230652  ,0.00000000  ,0.00000000
8068  ,5.411e+08  ,59.61538315  ,0.00000000  ,0.00000000
650  ,5.226e+08  ,61.53845978  ,0.00000000  ,0.00000000
8073  ,5.073e+08  ,63.46154022  ,0.00000000  ,0.00000000
649  ,4.919e+08  ,65.38462067  ,0.00000000  ,0.00000000
8078  ,4.780e+08  ,67.30769348  ,0.00000000  ,0.00000000
648  ,4.645e+08  ,69.23077393  ,0.00000000  ,0.00000000
8084  ,4.520e+08  ,71.15384674  ,0.00000000  ,0.00000000
647  ,4.418e+08  ,73.07692719  ,0.00000000  ,0.00000000
8091  ,4.314e+08  ,75.00000000  ,0.00000000  ,0.00000000
646  ,4.204e+08  ,76.92308044  ,0.00000000  ,0.00000000
8097  ,4.108e+08  ,78.84615326  ,0.00000000  ,0.00000000
645  ,4.010e+08  ,80.76923370  ,0.00000000  ,0.00000000
8102  ,3.912e+08  ,82.69230652  ,0.00000000  ,0.00000000
644  ,3.810e+08  ,84.61538696  ,0.00000000  ,0.00000000
8107  ,3.720e+08  ,86.53846741  ,0.00000000  ,0.00000000
643  ,3.631e+08  ,88.46154022  ,0.00000000  ,0.00000000
8114  ,3.566e+08  ,90.38462067  ,0.00000000  ,0.00000000
642  ,3.495e+08  ,92.30769348  ,0.00000000  ,0.00000000
8120  ,3.426e+08  ,94.23077393  ,0.00000000  ,0.00000000
641  ,3.353e+08  ,96.15384674  ,0.00000000  ,0.00000000
8885  ,3.281e+08  ,98.07692719  ,0.00000000  ,0.00000000
505  ,3.207e+08  ,100.00000000  ,0.00000000  ,-0.00000000
