Date:  10:35, Thursday, February 25, 2021
Model name: glass rim
Study name: 3D Plane Strain(-Default-)
Plot type: Static nodal stress Hoop Stress
Reference geometry: Axis1
Result Type: SY 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
40  ,4.827e+08  ,1.49173224  ,0.00000000  ,0.00000000
10917  ,4.635e+08  ,1.55399752  ,0.00000000  ,0.00000000
574  ,4.451e+08  ,1.61626279  ,0.00000000  ,0.00000000
7420  ,4.292e+08  ,1.67852807  ,0.00000000  ,0.00000000
573  ,4.128e+08  ,1.74079347  ,0.00000000  ,0.00000000
7427  ,3.989e+08  ,1.80305874  ,0.00000000  ,0.00000000
572  ,3.853e+08  ,1.86532402  ,0.00000000  ,0.00000000
7432  ,3.735e+08  ,1.92758930  ,0.00000000  ,0.00000000
571  ,3.615e+08  ,1.98985457  ,0.00000000  ,0.00000000
7439  ,3.505e+08  ,2.05211997  ,0.00000000  ,0.00000000
570  ,3.395e+08  ,2.11438513  ,0.00000000  ,0.00000000
7445  ,3.296e+08  ,2.17665052  ,0.00000000  ,0.00000000
569  ,3.204e+08  ,2.23891568  ,0.00000000  ,0.00000000
7452  ,3.115e+08  ,2.30118108  ,0.00000000  ,0.00000000
568  ,3.031e+08  ,2.36344647  ,0.00000000  ,0.00000000
7458  ,2.951e+08  ,2.42571163  ,0.00000000  ,0.00000000
567  ,2.873e+08  ,2.48797703  ,0.00000000  ,0.00000000
7464  ,2.801e+08  ,2.55024219  ,0.00000000  ,0.00000000
566  ,2.731e+08  ,2.61250758  ,0.00000000  ,0.00000000
7468  ,2.666e+08  ,2.67477274  ,0.00000000  ,0.00000000
565  ,2.602e+08  ,2.73703837  ,0.00000000  ,0.00000000
7474  ,2.541e+08  ,2.79930353  ,0.00000000  ,0.00000000
564  ,2.480e+08  ,2.86156893  ,0.00000000  ,0.00000000
7480  ,2.424e+08  ,2.92383409  ,0.00000000  ,0.00000000
563  ,2.368e+08  ,2.98609948  ,0.00000000  ,0.00000000
8206  ,2.316e+08  ,3.04836464  ,0.00000000  ,0.00000000
439  ,2.263e+08  ,3.11063004  ,0.00000000  ,-0.00000000
