Date:  10:33, Thursday, February 25, 2021
Model name: glass rim
Study name: 3D Plane Strain(-Default-)
Plot type: Static nodal stress Radial Stress
Reference geometry: Axis1
Result Type: SX 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
40  ,-7.383e+07  ,1.49173224  ,0.00000000  ,0.00000000
10917  ,-5.579e+07  ,1.55399752  ,0.00000000  ,0.00000000
574  ,-4.148e+07  ,1.61626279  ,0.00000000  ,0.00000000
7420  ,-2.931e+07  ,1.67852807  ,0.00000000  ,0.00000000
573  ,-1.975e+07  ,1.74079347  ,0.00000000  ,0.00000000
7427  ,-1.003e+07  ,1.80305874  ,0.00000000  ,0.00000000
572  ,-2.534e+06  ,1.86532402  ,0.00000000  ,0.00000000
7432  ,5.203e+06  ,1.92758930  ,0.00000000  ,0.00000000
571  ,1.075e+07  ,1.98985457  ,0.00000000  ,0.00000000
7439  ,1.500e+07  ,2.05211997  ,0.00000000  ,0.00000000
570  ,1.813e+07  ,2.11438513  ,0.00000000  ,0.00000000
7445  ,2.136e+07  ,2.17665052  ,0.00000000  ,0.00000000
569  ,2.355e+07  ,2.23891568  ,0.00000000  ,0.00000000
7452  ,2.502e+07  ,2.30118108  ,0.00000000  ,0.00000000
568  ,2.596e+07  ,2.36344647  ,0.00000000  ,0.00000000
7458  ,2.699e+07  ,2.42571163  ,0.00000000  ,0.00000000
567  ,2.580e+07  ,2.48797703  ,0.00000000  ,0.00000000
7464  ,2.477e+07  ,2.55024219  ,0.00000000  ,0.00000000
566  ,2.354e+07  ,2.61250758  ,0.00000000  ,0.00000000
7468  ,2.152e+07  ,2.67477274  ,0.00000000  ,0.00000000
565  ,1.976e+07  ,2.73703837  ,0.00000000  ,0.00000000
7474  ,1.717e+07  ,2.79930353  ,0.00000000  ,0.00000000
564  ,1.427e+07  ,2.86156893  ,0.00000000  ,0.00000000
7480  ,1.117e+07  ,2.92383409  ,0.00000000  ,0.00000000
563  ,7.865e+06  ,2.98609948  ,0.00000000  ,0.00000000
8206  ,4.142e+06  ,3.04836464  ,0.00000000  ,0.00000000
439  ,2.472e+05  ,3.11063004  ,0.00000000  ,-0.00000000
